"Codice comune","Comune","Celibi","Coniugati","Divorziati","Vedovi","Uniti civilmente","Maschi già in unione civile (per scioglimento unione)","Maschi già in unione civile (per decesso del partner)","Totale maschi","Nubili","Coniugate","Divorziate","Vedove","Unite civilmente","Femmine già in unione civile (per scioglimento unione)","Femmine già in unione civile (per decesso del partner)","Totale femmine","Totale"
"019001","Acquanegra Cremonese","267","286","6","13","","","","572","201","271","10","117","","","","599","1171"
"019002","Agnadello","938","929","56","50","","","","1973","764","880","68","211","","","","1923","3896"
"019003","Annicco","443","501","20","29","","","","993","347","500","18","161","","","","1026","2019"
"019004","Azzanello","127","157","11","9","","","","304","100","149","16","45","","","","310","614"
"019005","Bagnolo Cremasco","1107","1188","57","67","","","","2419","856","1209","72","285","","","","2422","4841"
"019006","Bonemerse","322","384","19","24","","","","749","264","383","32","62","","","","741","1490"
"019007","Bordolano","120","158","11","7","","","","296","109","153","4","31","","","","297","593"
"019008","Ca' d'Andrea","88","95","7","8","","","","198","53","90","5","41","","","","189","387"
"019009","Calvatone","297","287","12","20","","","","616","191","286","16","78","","","","571","1187"
"019010","Camisano","310","292","15","11","","","","628","227","291","15","79","","","","612","1240"
"019011","Campagnola Cremasca","143","174","10","1","","","","328","127","177","5","34","","","","343","671"
"019012","Capergnanica","515","510","27","22","","","","1074","405","522","27","131","","","","1085","2159"
"019013","Cappella Cantone","126","132","1","2","","","","261","104","133","9","38","","","","284","545"
"019014","Cappella de' Picenardi","94","95","3","6","","","","198","85","87","2","33","","","","207","405"
"019015","Capralba","511","572","41","33","","","","1157","414","577","44","121","","","","1156","2313"
"019016","Casalbuttano ed Uniti","848","870","43","64","","","","1825","640","856","49","392","","","","1937","3762"
"019017","Casale Cremasco-Vidolasco","464","450","21","19","","","","954","329","454","16","100","","","","899","1853"
"019018","Casaletto Ceredano","265","273","13","26","","","","577","214","269","23","64","","","","570","1147"
"019019","Casaletto di Sopra","134","131","5","6","","","","276","93","132","4","25","","","","254","530"
"019020","Casaletto Vaprio","421","409","26","15","","","","871","379","437","31","86","","","","933","1804"
"019021","Casalmaggiore","3685","3577","214","183","","","","7659","2869","3596","271","977","","","","7713","15372"
"019022","Casalmorano","398","370","15","25","","","","808","272","371","12","157","","","","812","1620"
