"Codice comune","Comune","Età","Sesso","Popolazione"
"017001","Acquafredda","71","Totale","20"
"017001","Acquafredda","71","Maschi","8"
"017001","Acquafredda","71","Femmine","12"
"017001","Acquafredda","72","Totale","12"
"017001","Acquafredda","72","Maschi","4"
"017001","Acquafredda","72","Femmine","8"
"017001","Acquafredda","73","Totale","16"
"017001","Acquafredda","73","Maschi","7"
"017001","Acquafredda","73","Femmine","9"
"017001","Acquafredda","74","Totale","13"
"017001","Acquafredda","74","Maschi","6"
"017001","Acquafredda","74","Femmine","7"
"017001","Acquafredda","75","Totale","5"
"017001","Acquafredda","75","Maschi","2"
"017001","Acquafredda","75","Femmine","3"
"017001","Acquafredda","76","Totale","11"
"017001","Acquafredda","76","Maschi","6"
"017001","Acquafredda","76","Femmine","5"
"017001","Acquafredda","77","Totale","20"
"017001","Acquafredda","77","Maschi","11"
"017001","Acquafredda","77","Femmine","9"
"017001","Acquafredda","78","Totale","13"
"017001","Acquafredda","78","Maschi","7"
"017001","Acquafredda","78","Femmine","6"
"017001","Acquafredda","79","Totale","18"
"017001","Acquafredda","79","Maschi","9"
"017001","Acquafredda","79","Femmine","9"
"017001","Acquafredda","80","Totale","14"
"017001","Acquafredda","80","Maschi","6"
"017001","Acquafredda","80","Femmine","8"
"017001","Acquafredda","81","Totale","8"
"017001","Acquafredda","81","Maschi","4"
"017001","Acquafredda","81","Femmine","4"
"017001","Acquafredda","82","Totale","10"
"017001","Acquafredda","82","Maschi","3"
"017001","Acquafredda","82","Femmine","7"
"017001","Acquafredda","83","Totale","14"
"017001","Acquafredda","83","Maschi","4"
"017001","Acquafredda","83","Femmine","10"
"017001","Acquafredda","84","Totale","4"
"017001","Acquafredda","84","Maschi","0"
"017001","Acquafredda","84","Femmine","4"
"017001","Acquafredda","85","Totale","4"
"017001","Acquafredda","85","Maschi","2"
"017001","Acquafredda","85","Femmine","2"
"017001","Acquafredda","86","Totale","7"
"017001","Acquafredda","86","Maschi","4"
"017001","Acquafredda","86","Femmine","3"
"017001","Acquafredda","87","Totale","7"
"017001","Acquafredda","87","Maschi","2"
"017001","Acquafredda","87","Femmine","5"
"017001","Acquafredda","88","Totale","7"
"017001","Acquafredda","88","Maschi","1"
"017001","Acquafredda","88","Femmine","6"
"017001","Acquafredda","89","Totale","7"
"017001","Acquafredda","89","Maschi","1"
"017001","Acquafredda","89","Femmine","6"
"017001","Acquafredda","90","Totale","6"
"017001","Acquafredda","90","Maschi","0"
"017001","Acquafredda","90","Femmine","6"
"017001","Acquafredda","91","Totale","4"
"017001","Acquafredda","91","Maschi","1"
"017001","Acquafredda","91","Femmine","3"
"017001","Acquafredda","92","Totale","4"
"017001","Acquafredda","92","Maschi","2"
"017001","Acquafredda","92","Femmine","2"
"017001","Acquafredda","93","Totale","6"
"017001","Acquafredda","93","Maschi","1"
"017001","Acquafredda","93","Femmine","5"
"017001","Acquafredda","94","Totale","0"
"017001","Acquafredda","94","Maschi","0"
"017001","Acquafredda","94","Femmine","0"
"017001","Acquafredda","95","Totale","1"
"017001","Acquafredda","95","Maschi","0"
"017001","Acquafredda","95","Femmine","1"
"017001","Acquafredda","96","Totale","1"
"017001","Acquafredda","96","Maschi","0"
"017001","Acquafredda","96","Femmine","1"
"017001","Acquafredda","97","Totale","0"
"017001","Acquafredda","97","Maschi","0"
"017001","Acquafredda","97","Femmine","0"
"017001","Acquafredda","98","Totale","0"
"017001","Acquafredda","98","Maschi","0"
"017001","Acquafredda","98","Femmine","0"
"017001","Acquafredda","99","Totale","0"
"017001","Acquafredda","99","Maschi","0"
