"Codice comune","Comune","Celibi","Coniugati","Divorziati","Vedovi","Uniti civilmente","Maschi già in unione civile (per scioglimento unione)","Maschi già in unione civile (per decesso del partner)","Totale maschi","Nubili","Coniugate","Divorziate","Vedove","Unite civilmente","Femmine già in unione civile (per scioglimento unione)","Femmine già in unione civile (per decesso del partner)","Totale femmine","Totale"
"017020","Borgo San Giacomo","1352","1213","67","60","","","","2692","1052","1232","59","294","","","","2637","5329"
"017021","Borgosatollo","2119","2230","123","87","","","","4559","1730","2218","160","482","","","","4590","9149"
"017022","Borno","615","586","27","38","","","","1266","487","584","33","210","","","","1314","2580"
"017023","Botticino","2376","2587","164","107","","","","5234","2067","2630","237","589","","","","5523","10757"
"017024","Bovegno","494","470","49","41","","","","1054","405","452","44","171","","","","1072","2126"
"017025","Bovezzo","1556","1857","131","77","","","","3621","1334","1913","191","434","","","","3872","7493"
"017026","Brandico","400","419","15","17","","","","851","320","424","19","64","","","","827","1678"
"017027","Braone","150","172","7","11","","","","340","117","173","11","47","","","","348","688"
"017028","Breno","1077","1141","56","78","","","","2352","874","1153","72","339","","","","2438","4790"
"017029","Brescia","44378","42942","3322","2524","133","2","0","93301","40416","44257","5590","12515","53","0","2","102833","196134"
"017030","Brione","177","164","19","4","","","","364","131","155","12","46","","","","344","708"
"017031","Caino","520","504","35","21","","","","1080","373","499","42","107","","","","1021","2101"
"017032","Calcinato","3153","3071","193","121","","","","6538","2470","3053","239","608","","","","6370","12908"
"017033","Calvagese della Riviera","831","817","58","31","","","","1737","728","801","71","163","","","","1763","3500"
"017034","Calvisano","2079","2016","108","92","","","","4295","1608","2010","121","439","","","","4178","8473"
"017035","Capo di Ponte","588","548","20","35","","","","1191","505","547","25","189","","","","1266","2457"
"017036","Capovalle","78","79","9","3","","","","169","60","83","6","35","","","","184","353"
"017037","Capriano del Colle","1129","1072","88","53","","","","2342","896","1069","93","227","","","","2285","4627"
"017038","Capriolo","2171","2198","144","84","","","","4597","1756","2230","151","560","","","","4697","9294"
"017039","Carpenedolo","3106","3084","199","121","","","","6510","2461","3075","235","666","","","","6437","12947"
"017040","Castegnato","1990","2022","131","87","","","","4230","1746","1995","149","374","","","","4264","8494"
"017041","Castelcovati","1517","1633","59","59","","","","3268","1280","1616","64","322","","","","3282","6550"
"017042","Castel Mella","2535","2634","197","103","","","","5469","2099","2612","251","442","","","","5404","10873"
"017043","Castenedolo","2668","2719","189","113","","","","5689","2187","2719","222","592","","","","5720","11409"
"017044","Casto","431","407","19","17","","","","874","329","386","14","95","","","","824","1698"
"017045","Castrezzato","1741","1735","89","59","","","","3624","1523","1730","94","345","","","","3692","7316"
"017046","Cazzago San Martino","2450","2740","128","134","","","","5452","2056","2764","150","615","","","","5585","11037"
"017047","Cedegolo","277","257","17","20","","","","571","198","271","10","99","","","","578","1149"
"017048","Cellatica","1093","1149","68","46","","","","2356","917","1224","92","260","","","","2493","4849"
"017049","Cerveno","190","153","0","11","","","","354","123","147","5","43","","","","318","672"
"017050","Ceto","430","429","28","20","","","","907","355","438","30","123","","","","946","1853"
"017051","Cevo","212","196","18","17","","","","443","140","181","11","80","","","","412","855"
"017052","Chiari","4359","4586","244","226","","","","9415","3592","4591","315","1143","","","","9641","19056"
"017053","Cigole","328","394","22","18","","","","762","275","390","18","97","","","","780","1542"
"017054","Cimbergo","136","128","3","4","","","","271","97","114","8","47","","","","266","537"
"017055","Cividate Camuno","640","688","34","38","","","","1400","479","664","36","161","","","","1340","2740"
"017056","Coccaglio","2026","2104","103","107","","","","4340","1635","2086","141","455","","","","4317","8657"
"017057","Collebeato","1004","1112","82","59","","","","2257","892","1146","81","267","","","","2386","4643"
"017058","Collio","549","450","27","20","","","","1046","380","444","24","166","","","","1014","2060"
"017059","Cologne","1742","1813","94","73","","","","3722","1447","1798","98","446","","","","3789","7511"
"017060","Comezzano-Cizzago","1007","973","41","38","","","","2059","789","959","47","139","","","","1934","3993"
"017061","Concesio","3431","3755","228","184","","","","7598","2885","3824","319","856","","","","7884","15482"
"017062","Corte Franca","1664","1739","111","66","","","","3580","1338","1771","116","350","","","","3575","7155"
"017063","Corteno Golgi","467","468","20","25","","","","980","359","448","15","154","","","","976","1956"
"017064","Corzano","333","330","17","12","","","","692","294","334","21","70","","","","719","1411"
"017065","Darfo Boario Terme","3737","3581","271","204","","","","7793","3096","3574","330","943","","","","7943","15736"
"017066","Dello","1351","1292","94","50","","","","2787","1106","1281","107","281","","","","2775","5562"
"017067","Desenzano del Garda","6781","6053","546","325","16","0","0","13721","6452","6228","888","1711","2","0","0","15281","29002"
"017068","Edolo","1039","1033","57","72","","","","2201","835","1050","84","316","","","","2285","4486"
"017069","Erbusco","2103","2036","113","71","","","","4323","1619","2029","140","445","","","","4233","8556"
"017070","Esine","1248","1193","83","68","","","","2592","1005","1206","112","302","","","","2625","5217"
"017071","Fiesse","498","487","11","29","","","","1025","390","498","21","120","","","","1029","2054"
"017072","Flero","1962","2195","123","87","","","","4367","1652","2208","159","452","","","","4471","8838"
"017073","Gambara","1161","1113","46","47","","","","2367","848","1098","70","292","","","","2308","4675"
"017074","Gardone Riviera","625","579","55","36","","","","1295","530","588","72","156","","","","1346","2641"
"017075","Gardone Val Trompia","2697","2651","184","167","","","","5699","2238","2614","195","772","","","","5819","11518"
"017076","Gargnano","595","661","37","55","","","","1348","461","698","64","241","","","","1464","2812"
"017077","Gavardo","2924","2827","233","132","","","","6116","2336","2825","259","624","","","","6044","12160"
"017078","Ghedi","4452","4493","226","168","","","","9339","3483","4450","304","916","","","","9153","18492"
"017079","Gianico","490","530","23","27","","","","1070","423","529","30","112","","","","1094","2164"
"017080","Gottolengo","1206","1166","60","66","","","","2498","967","1192","61","361","","","","2581","5079"
"017081","Gussago","3713","3974","262","172","","","","8121","3187","4053","376","854","","","","8470","16591"
"017082","Idro","437","432","32","20","","","","921","374","428","33","103","","","","938","1859"
"017083","Incudine","82","86","9","3","","","","180","62","89","5","32","","","","188","368"
"017084","Irma","36","29","3","3","","","","71","20","26","1","10","","","","57","128"
"017085","Iseo","1964","2135","167","115","","","","4381","1771","2178","212","575","","","","4736","9117"
"017086","Isorella","950","1014","44","52","","","","2060","721","1004","51","233","","","","2009","4069"
"017087","Lavenone","118","124","7","11","","","","260","87","111","7","47","","","","252","512"
"017088","Leno","3401","3279","165","157","","","","7002","2775","3295","192","686","","","","6948","13950"
"017089","Limone sul Garda","272","263","24","7","","","","566","231","260","26","69","","","","586","1152"
"017090","Lodrino","419","418","15","21","","","","873","295","404","15","87","","","","801","1674"
"017091","Lograto","918","873","41","42","","","","1874","775","855","51","188","","","","1869","3743"
"017092","Lonato del Garda","3928","3745","337","155","","","","8165","3335","3720","438","840","","","","8333","16498"
"017093","Longhena","144","148","4","5","","","","301","96","142","5","29","","","","272","573"
"017094","Losine","138","149","4","10","","","","301","113","147","8","36","","","","304","605"
"017095","Lozio","88","101","2","6","","","","197","74","87","9","37","","","","207","404"
"017096","Lumezzane","5179","5170","301","263","2","0","0","10915","4187","5131","360","1409","0","0","0","11087","22002"
"017097","Maclodio","372","349","13","11","","","","745","277","352","16","70","","","","715","1460"
"017098","Magasa","27","36","1","3","","","","67","9","21","1","24","","","","55","122"
"017099","Mairano","861","810","46","32","","","","1749","687","808","51","145","","","","1691","3440"
"017100","Malegno","454","484","19","36","","","","993","371","489","22","119","","","","1001","1994"
"017101","Malonno","701","770","30","47","","","","1548","562","789","15","244","","","","1610","3158"
"017102","Manerba del Garda","1245","1198","112","58","","","","2613","1063","1207","112","255","","","","2637","5250"
"017103","Manerbio","2984","3032","177","139","","","","6332","2480","3116","246","856","","","","6698","13030"
"017104","Marcheno","1037","1014","55","53","","","","2159","838","1004","64","239","","","","2145","4304"
"017105","Marmentino","173","145","10","10","","","","338","123","141","7","52","","","","323","661"
"017106","Marone","727","699","58","45","","","","1529","646","704","56","228","","","","1634","3163"
"017107","Mazzano","2874","2993","185","103","","","","6155","2449","3001","266","551","","","","6267","12422"
"017108","Milzano","409","429","19","21","","","","878","329","424","22","88","","","","863","1741"
"017109","Moniga del Garda","585","566","86","23","","","","1260","509","582","84","130","","","","1305","2565"
"017110","Monno","99","128","9","11","","","","247","92","127","3","50","","","","272","519"
"017111","Monte Isola","394","401","19","28","","","","842","309","409","25","120","","","","863","1705"
"017112","Monticelli Brusati","1053","1102","86","40","","","","2281","873","1104","89","171","","","","2237","4518"
"017113","Montichiari","6209","5998","384","240","3","0","0","12834","4996","6050","483","1194","12","0","0","12735","25569"
"017114","Montirone","1264","1234","72","40","","","","2610","970","1209","95","207","","","","2481","5091"
"017115","Mura","178","185","9","9","","","","381","155","183","3","50","","","","391","772"
"017116","Muscoline","679","606","58","27","","","","1370","506","606","71","108","","","","1291","2661"
"017117","Nave","2369","2542","174","120","","","","5205","1882","2571","222","660","","","","5335","10540"
"017118","Niardo","474","479","22","22","","","","997","407","475","23","119","","","","1024","2021"
"017119","Nuvolento","898","928","48","46","","","","1920","801","950","60","229","","","","2040","3960"
"017120","Nuvolera","1107","1118","57","46","","","","2328","945","1141","84","201","","","","2371","4699"
"017121","Odolo","420","458","15","34","","","","927","373","464","19","124","","","","980","1907"
"017122","Offlaga","1047","903","54","54","","","","2058","800","906","54","201","","","","1961","4019"
"017123","Ome","705","780","26","38","","","","1549","621","784","39","210","","","","1654","3203"
"017124","Ono San Pietro","222","235","3","11","","","","471","193","229","2","70","","","","494","965"
"017125","Orzinuovi","3061","2828","150","152","","","","6191","2436","2869","175","707","","","","6187","12378"
"017126","Orzivecchi","602","592","18","25","","","","1237","431","578","24","172","","","","1205","2442"
"017127","Ospitaletto","3489","3443","181","155","","","","7268","2688","3418","243","626","","","","6975","14243"
"017128","Ossimo","348","332","21","18","","","","719","275","342","20","103","","","","740","1459"
"017129","Padenghe sul Garda","1062","1021","90","59","","","","2232","1002","1049","126","218","","","","2395","4627"
"017130","Paderno Franciacorta","831","891","49","45","","","","1816","695","883","62","178","","","","1818","3634"
"017131","Paisco Loveno","53","38","0","3","","","","94","32","42","0","16","","","","90","184"
"017132","Paitone","496","531","31","20","","","","1078","378","523","36","93","","","","1030","2108"
"017133","Palazzolo sull'Oglio","4744","4725","259","231","","","","9959","3756","4689","323","1211","","","","9979","19938"
"017134","Paratico","1190","1109","67","56","","","","2422","878","1133","102","248","","","","2361","4783"
"017135","Paspardo","173","130","4","9","","","","316","99","127","1","61","","","","288","604"
"017136","Passirano","1595","1666","117","73","","","","3451","1374","1698","144","342","","","","3558","7009"
"017137","Pavone del Mella","626","709","26","21","","","","1382","472","674","32","161","","","","1339","2721"
"017138","San Paolo","1083","1083","39","38","","","","2243","869","1075","48","221","","","","2213","4456"
"017139","Pertica Alta","149","124","11","7","","","","291","89","119","6","39","","","","253","544"
"017140","Pertica Bassa","146","135","9","12","","","","302","111","137","1","52","","","","301","603"
"017141","Pezzaze","362","347","21","23","","","","753","244","351","19","122","","","","736","1489"
"017142","Pian Camuno","1146","1090","90","47","","","","2373","948","1056","97","248","","","","2349","4722"
"017143","Pisogne","1915","1782","135","130","","","","3962","1458","1817","169","566","","","","4010","7972"
"017144","Polaveno","553","654","26","25","","","","1258","410","657","27","144","","","","1238","2496"
"017145","Polpenazze del Garda","589","618","66","26","","","","1299","549","607","76","115","","","","1347","2646"
"017146","Pompiano","861","930","50","40","","","","1881","715","901","51","184","","","","1851","3732"
"017147","Poncarale","1165","1284","79","45","","","","2573","1010","1264","84","235","","","","2593","5166"
"017148","Ponte di Legno","416","404","26","13","","","","859","382","381","31","129","","","","923","1782"
"017149","Pontevico","1510","1643","87","78","","","","3318","1532","1619","131","483","","","","3765","7083"
"017150","Pontoglio","1604","1662","73","87","","","","3426","1270","1637","66","438","","","","3411","6837"
"017151","Pozzolengo","824","827","64","46","","","","1761","662","804","72","205","","","","1743","3504"
"017152","Pralboino","724","688","24","32","","","","1468","523","686","41","185","","","","1435","2903"
"017153","Preseglie","356","395","16","17","","","","784","258","382","21","85","","","","746","1530"
"017155","Prevalle","1679","1591","86","52","","","","3408","1320","1596","123","345","","","","3384","6792"
"017156","Provaglio d'Iseo","1733","1684","119","85","","","","3621","1454","1732","143","374","","","","3703","7324"
"017157","Provaglio Val Sabbia","237","223","7","9","","","","476","154","213","5","64","","","","436","912"
"017158","Puegnago del Garda","752","826","69","29","","","","1676","656","838","77","157","","","","1728","3404"
"017159","Quinzano d'Oglio","1529","1420","80","77","","","","3106","1201","1405","84","430","","","","3120","6226"
"017160","Remedello","813","802","26","31","","","","1672","651","799","41","189","","","","1680","3352"
"017161","Rezzato","3108","3088","219","165","","","","6580","2623","3073","293","777","","","","6766","13346"
"017162","Roccafranca","1171","1129","47","38","","","","2385","981","1103","67","220","","","","2371","4756"
"017163","Rodengo Saiano","2211","2291","154","77","","","","4733","1958","2347","191","466","","","","4962","9695"
"017164","Roè Volciano","1004","1008","84","58","","","","2154","876","1047","111","284","","","","2318","4472"
"017165","Roncadelle","2222","2170","146","90","","","","4628","1778","2221","202","508","","","","4709","9337"
"017166","Rovato","5035","4235","221","154","","","","9645","3950","4142","255","908","","","","9255","18900"
"017167","Rudiano","1477","1396","47","41","","","","2961","1104","1402","63","243","","","","2812","5773"
"017168","Sabbio Chiese","924","978","56","37","","","","1995","700","965","60","215","","","","1940","3935"
"017169","Sale Marasino","751","779","57","46","","","","1633","611","793","68","240","","","","1712","3345"
"017170","Salò","2162","2387","203","141","","","","4893","2048","2514","312","744","","","","5618","10511"
"017171","San Felice del Benaco","773","790","72","33","","","","1668","695","778","81","199","","","","1753","3421"
"017172","San Gervasio Bresciano","644","594","32","14","","","","1284","568","590","37","118","","","","1313","2597"
"017173","San Zeno Naviglio","1037","1181","69","35","","","","2322","886","1163","103","223","","","","2375","4697"
"017174","Sarezzo","3047","3193","187","145","","","","6572","2482","3197","293","763","","","","6735","13307"
"017175","Saviore dell'Adamello","194","193","10","12","","","","409","152","189","5","109","","","","455","864"
"017176","Sellero","353","336","12","19","","","","720","261","331","7","115","","","","714","1434"
"017177","Seniga","337","328","17","19","","","","701","256","327","20","107","","","","710","1411"
"017178","Serle","689","714","56","40","","","","1499","553","711","43","237","","","","1544","3043"
"017179","Sirmione","1875","1707","199","71","","","","3852","1784","1734","261","427","","","","4206","8058"
"017180","Soiano del Lago","428","418","48","22","","","","916","368","422","48","80","","","","918","1834"
"017181","Sonico","304","287","16","17","","","","624","210","290","21","98","","","","619","1243"
"017182","Sulzano","459","457","35","21","","","","972","372","447","40","100","","","","959","1931"
"017183","Tavernole sul Mella","297","298","19","13","","","","627","216","298","7","95","","","","616","1243"
"017184","Temù","284","249","13","14","","","","560","258","216","10","75","","","","559","1119"
"017185","Tignale","249","289","18","24","","","","580","232","286","17","108","","","","643","1223"
"017186","Torbole Casaglia","1591","1534","92","49","","","","3266","1265","1547","117","258","","","","3187","6453"
"017187","Toscolano-Maderno","1684","1796","169","122","","","","3771","1428","1823","231","560","","","","4042","7813"
"017188","Travagliato","3267","3213","201","129","","","","6810","2739","3242","256","716","","","","6953","13763"
"017189","Tremosine sul Garda","476","503","34","27","","","","1040","384","498","37","127","","","","1046","2086"
"017190","Trenzano","1329","1289","57","38","","","","2713","1065","1306","64","263","","","","2698","5411"
"017191","Treviso Bresciano","116","129","2","7","","","","254","95","123","2","46","","","","266","520"
"017192","Urago d'Oglio","942","876","42","46","","","","1906","728","865","29","185","","","","1807","3713"
"017193","Vallio Terme","334","346","29","11","","","","720","280","341","23","73","","","","717","1437"
"017194","Valvestino","45","38","3","5","","","","91","27","34","1","26","","","","88","179"
"017195","Verolanuova","1854","1994","86","92","","","","4026","1466","1957","112","543","","","","4078","8104"
"017196","Verolavecchia","868","949","47","43","","","","1907","608","929","49","252","","","","1838","3745"
"017197","Vestone","1010","1023","43","52","","","","2128","796","1019","73","270","","","","2158","4286"
"017198","Vezza d'Oglio","330","352","12","10","","","","704","299","343","15","93","","","","750","1454"
"017199","Villa Carcina","2293","2619","161","121","","","","5194","1988","2640","190","609","","","","5427","10621"
"017200","Villachiara","327","333","17","14","","","","691","288","325","16","90","","","","719","1410"
"017201","Villanuova sul Clisi","1245","1400","97","62","","","","2804","1048","1396","144","383","","","","2971","5775"
"017202","Vione","143","162","5","8","","","","318","120","170","7","56","","","","353","671"
"017203","Visano","478","492","15","16","","","","1001","377","487","10","92","","","","966","1967"
"017204","Vobarno","1921","1941","134","110","","","","4106","1428","1920","144","516","","","","4008","8114"
"017205","Zone","238","256","13","14","","","","521","178","250","20","81","","","","529","1050"
"017206","Piancogno","1109","1119","77","61","","","","2366","835","1118","88","259","","","","2300","4666"
