MonthPeriod;Area;Outcome;N_events;Year;Month;Population;Rate_per_10000
2018-07-01;Industrial;Cardiocirculatory;527;2018;7;338804;15.554716000991723
2018-07-01;Agricultural;Respiratory;32;2018;7;60224;5.313496280552603
2018-07-01;Agricultural;Cardiocirculatory;82;2018;7;60224;13.615834218916048
2018-08-01;Industrial;Respiratory;176;2018;8;338804;5.19474386370881
2018-08-01;Industrial;Cardiocirculatory;525;2018;8;338804;15.495684820722305
2018-08-01;Agricultural;Respiratory;32;2018;8;60224;5.313496280552603
2018-08-01;Agricultural;Cardiocirculatory;71;2018;8;60224;11.78931987247609
2018-09-01;Industrial;Respiratory;166;2018;9;338804;4.89958796236172
2018-09-01;Industrial;Cardiocirculatory;507;2018;9;338804;14.96440419829754
2018-09-01;Agricultural;Respiratory;43;2018;9;60224;7.140010626992561
2018-09-01;Agricultural;Cardiocirculatory;65;2018;9;60224;10.793039319872475
2018-10-01;Industrial;Respiratory;205;2018;10;338804;6.050695977615376
2018-10-01;Industrial;Cardiocirculatory;582;2018;10;338804;17.17807345840073
2018-10-01;Agricultural;Respiratory;30;2018;10;60224;4.981402763018067
2018-10-01;Agricultural;Cardiocirculatory;86;2018;10;60224;14.280021253985122
2018-11-01;Industrial;Respiratory;211;2018;11;338804;6.227789518423631
2018-11-01;Industrial;Cardiocirculatory;546;2018;11;338804;16.115512213551195
2018-11-01;Agricultural;Respiratory;35;2018;11;60224;5.811636556854411
2018-11-01;Agricultural;Cardiocirculatory;83;2018;11;60224;13.781880977683317
2018-12-01;Industrial;Respiratory;268;2018;12;338804;7.910178156102053
2018-12-01;Industrial;Cardiocirculatory;600;2018;12;338804;17.70935408082549
2018-12-01;Agricultural;Respiratory;32;2018;12;60224;5.313496280552603
2018-12-01;Agricultural;Cardiocirculatory;92;2018;12;60224;15.276301806588735
2019-01-01;Industrial;Respiratory;308;2019;1;340591;9.043104486025761
2019-01-01;Industrial;Cardiocirculatory;581;2019;1;340591;17.058583462275866
2019-01-01;Agricultural;Respiratory;56;2019;1;60103;9.317338568790243
2019-01-01;Agricultural;Cardiocirculatory;97;2019;1;60103;16.138961449511672
2019-02-01;Industrial;Respiratory;323;2019;2;340591;9.483515418786755
2019-02-01;Industrial;Cardiocirculatory;569;2019;2;340591;16.706254716067072
2019-02-01;Agricultural;Respiratory;51;2019;2;60103;8.485433339433971
2019-02-01;Agricultural;Cardiocirculatory;95;2019;2;60103;15.806199357769163
2019-03-01;Industrial;Respiratory;242;2019;3;340591;7.105296381877383
2019-03-01;Industrial;Cardiocirculatory;574;2019;3;340591;16.853058360320738
2019-03-01;Agricultural;Respiratory;34;2019;3;60103;5.656955559622648
2019-03-01;Agricultural;Cardiocirculatory;80;2019;3;60103;13.310483669700346
2019-04-01;Industrial;Respiratory;226;2019;4;340591;6.635524720265656
2019-04-01;Industrial;Cardiocirculatory;550;2019;4;340591;16.148400867903145
2019-04-01;Agricultural;Respiratory;47;2019;4;60103;7.819909155948954
2019-04-01;Agricultural;Cardiocirculatory;83;2019;4;60103;13.80962680731411
2019-05-01;Industrial;Respiratory;240;2019;5;340591;7.046574924175918
2019-05-01;Industrial;Cardiocirculatory;526;2019;5;340591;15.443743375485553
2019-05-01;Agricultural;Respiratory;42;2019;5;60103;6.9880039265926825
2019-05-01;Agricultural;Cardiocirculatory;87;2019;5;60103;14.475150990799127
2019-06-01;Industrial;Respiratory;229;2019;6;340591;6.723606906817855
2019-06-01;Industrial;Cardiocirculatory;529;2019;6;340591;15.531825562037753
2019-06-01;Agricultural;Respiratory;45;2019;6;60103;7.487147064206446
2019-06-01;Agricultural;Cardiocirculatory;95;2019;6;60103;15.806199357769163
2019-07-01;Industrial;Respiratory;256;2019;7;340591;7.516346585787646
2019-07-01;Industrial;Cardiocirculatory;536;2019;7;340591;15.737350663992883
2019-07-01;Agricultural;Respiratory;31;2019;7;60103;5.157812422008885
2019-07-01;Agricultural;Cardiocirculatory;86;2019;7;60103;14.308769944927874
