Temporal_scale;Lag_unit;Pipeline;Group;Pollutant;Outcome;Best_lag;Best_Rho;Best_P_value;N_at_best_lag;Lag0_Rho;Lag0_P_value;Lag0_is_best;Interpretation
Weekly;weeks;Station-based;Industrial;NO2;Respiratory;2;0.4435049364859542;8.25742811554981e-14;257;;;False;"moderate positive association; statistically significant at p < 0.05"
Weekly;weeks;Station-based;Industrial;NO2;Cardiocirculatory;2;0.3456725515535075;1.263458218973304e-08;257;;;False;"weak positive association; statistically significant at p < 0.05"
Weekly;weeks;Station-based;Industrial;PM25;Respiratory;1;0.4123444101904592;5.180826295434297e-12;258;;;False;"moderate positive association; statistically significant at p < 0.05"
Weekly;weeks;Station-based;Industrial;PM25;Cardiocirculatory;1;0.3681212442296857;1.06248868574317e-09;258;;;False;"weak positive association; statistically significant at p < 0.05"
Weekly;weeks;Station-based;Agricultural;NO2;Respiratory;0;0.3006583180324571;7.461586647500834e-07;261;;;True;"weak positive association; statistically significant at p < 0.05"
Weekly;weeks;Station-based;Agricultural;NO2;Cardiocirculatory;1;0.1486955667136337;0.016630265071951;259;;;False;"very weak positive association; statistically significant at p < 0.05"
Weekly;weeks;Station-based;Agricultural;PM25;Respiratory;1;0.2834497198799082;3.7280700844864055e-06;258;;;False;"weak positive association; statistically significant at p < 0.05"
Weekly;weeks;Station-based;Agricultural;PM25;Cardiocirculatory;1;0.1495539461552178;0.0162139688944015;258;;;False;"very weak positive association; statistically significant at p < 0.05"
Weekly;weeks;ModAria;Overall;NO2;Respiratory;1;0.2676736330363589;5.987845495238206e-10;518;0.2488120467072203;8.316375722139002e-09;False;"weak positive association; statistically significant"
Weekly;weeks;ModAria;Overall;NO2;Cardiocirculatory;2;0.2958830505721054;7.611811536102426e-12;514;0.2879471095891459;2.0059923150591365e-11;False;"weak positive association; statistically significant"
Weekly;weeks;ModAria;Overall;PM25;Respiratory;1;0.3305953206399914;1.1248279051494092e-14;518;0.2969106072274846;4.387724134945261e-12;False;"moderate positive association; statistically significant"
Weekly;weeks;ModAria;Overall;PM25;Cardiocirculatory;1;0.1854117989043293;2.1705644457510777e-05;518;0.1790568051713258;3.880890114322016e-05;False;"weak positive association; statistically significant"
Weekly;weeks;ModAria;Industrial;NO2;Respiratory;2;0.2489930285815596;5.438192531162087e-05;257;0.1978879980028293;0.0013114136866295;False;"weak positive association; statistically significant"
Weekly;weeks;ModAria;Industrial;NO2;Cardiocirculatory;2;0.3360777183331202;3.3335490620068965e-08;257;0.3192725718724775;1.350421351092614e-07;False;"moderate positive association; statistically significant"
Weekly;weeks;ModAria;Industrial;PM25;Respiratory;1;0.3642338813044464;1.5196722903854156e-09;259;0.3224546209101915;9.963545218409323e-08;False;"moderate positive association; statistically significant"
Weekly;weeks;ModAria;Industrial;PM25;Cardiocirculatory;2;0.3535783197014512;5.540529222884004e-09;257;0.3082636848787762;3.764214081674193e-07;False;"moderate positive association; statistically significant"
Weekly;weeks;ModAria;Agricultural;NO2;Respiratory;1;0.3041613839498253;6.035837378506321e-07;259;0.296253610753714;1.0992711938433037e-06;False;"moderate positive association; statistically significant"
Weekly;weeks;ModAria;Agricultural;NO2;Cardiocirculatory;1;0.1364373309768218;0.028134452380537;259;0.1248979249389229;0.0437996206768293;False;"weak positive association; statistically significant"
Weekly;weeks;ModAria;Agricultural;PM25;Respiratory;1;0.2946184618535282;1.3927238928407644e-06;259;0.2757234014349594;6.154588356376468e-06;False;"weak positive association; statistically significant"
Weekly;weeks;ModAria;Agricultural;PM25;Cardiocirculatory;0;0.1182600985294773;0.0563807611768613;261;0.1182600985294773;0.0563807611768613;True;"weak positive association; not statistically significant"
