WeekStart;Year;Week;Area;Population;Respiratory_rate_per_10000;Cardiocirculatory_rate_per_10000;NO2_population_weighted_mean;PM25_population_weighted_mean;TimeLabel;NO2_population_weighted_mean_lag0;NO2_population_weighted_mean_lag0_WeekStart;PM25_population_weighted_mean_lag0;PM25_population_weighted_mean_lag0_WeekStart;NO2_population_weighted_mean_lag1;NO2_population_weighted_mean_lag1_WeekStart;PM25_population_weighted_mean_lag1;PM25_population_weighted_mean_lag1_WeekStart;NO2_population_weighted_mean_lag2;NO2_population_weighted_mean_lag2_WeekStart;PM25_population_weighted_mean_lag2;PM25_population_weighted_mean_lag2_WeekStart;NO2_population_weighted_mean_lag3;NO2_population_weighted_mean_lag3_WeekStart;PM25_population_weighted_mean_lag3;PM25_population_weighted_mean_lag3_WeekStart;NO2_population_weighted_mean_lag4;NO2_population_weighted_mean_lag4_WeekStart;PM25_population_weighted_mean_lag4;PM25_population_weighted_mean_lag4_WeekStart
2019-10-21;2019;43;Agricultural;60103;0.8319052293562716;5.490574513751393;19.399450736474016;17.742370459009255;2019-10-21;19.399450736474016;2019-10-21;17.742370459009255;2019-10-21;19.178584007932397;2019-10-14;16.886335431302946;2019-10-14;21.019105195170372;2019-10-07;21.081027998063412;2019-10-07;20.583065008868978;2019-09-30;14.416332450311526;2019-09-30;18.35854984281084;2019-09-23;19.02501495781157;2019-09-23
2019-10-21;2019;43;Industrial;340591;1.7616437310439794;3.611369648640158;23.71733924196285;14.680352230226717;2019-10-21;23.71733924196285;2019-10-21;14.680352230226717;2019-10-21;25.096625485135693;2019-10-14;16.697720367486255;2019-10-14;26.92777801188319;2019-10-07;20.28519528834668;2019-10-07;26.98063357237885;2019-09-30;14.857832990345017;2019-09-30;29.270664480026557;2019-09-23;18.431867728339494;2019-09-23
2019-10-28;2019;44;Agricultural;60103;1.6638104587125433;4.825050330266376;20.13536005513777;23.112954204783538;2019-10-28;20.13536005513777;2019-10-28;23.112954204783538;2019-10-28;19.399450736474016;2019-10-21;17.742370459009255;2019-10-21;19.178584007932397;2019-10-14;16.886335431302946;2019-10-14;21.019105195170372;2019-10-07;21.081027998063412;2019-10-07;20.583065008868978;2019-09-30;14.416332450311526;2019-09-30
2019-10-28;2019;44;Industrial;340591;1.5561186290888487;2.7892692408196345;35.37108638575737;21.288849769396613;2019-10-28;35.37108638575737;2019-10-28;21.288849769396613;2019-10-28;23.71733924196285;2019-10-21;14.680352230226717;2019-10-21;25.096625485135693;2019-10-14;16.697720367486255;2019-10-14;26.92777801188319;2019-10-07;20.28519528834668;2019-10-07;26.98063357237885;2019-09-30;14.857832990345017;2019-09-30
2019-11-04;2019;45;Agricultural;60103;1.6638104587125433;4.159526146781358;26.271896861925125;15.211857580492055;2019-11-04;26.271896861925125;2019-11-04;15.211857580492055;2019-11-04;20.13536005513777;2019-10-28;23.112954204783538;2019-10-28;19.399450736474016;2019-10-21;17.742370459009255;2019-10-21;19.178584007932397;2019-10-14;16.886335431302946;2019-10-14;21.019105195170372;2019-10-07;21.081027998063412;2019-10-07
2019-11-04;2019;45;Industrial;340591;1.5854793579395814;3.376483817834294;33.350770928235605;14.447569226165035;2019-11-04;33.350770928235605;2019-11-04;14.447569226165035;2019-11-04;35.37108638575737;2019-10-28;21.288849769396613;2019-10-28;23.71733924196285;2019-10-21;14.680352230226717;2019-10-21;25.096625485135693;2019-10-14;16.697720367486255;2019-10-14;26.92777801188319;2019-10-07;20.28519528834668;2019-10-07
2019-11-11;2019;46;Agricultural;60103;1.6638104587125433;3.3276209174250866;27.004331317111944;13.051962274602165;2019-11-11;27.004331317111944;2019-11-11;13.051962274602165;2019-11-11;26.271896861925125;2019-11-04;15.211857580492055;2019-11-04;20.13536005513777;2019-10-28;23.112954204783538;2019-10-28;19.399450736474016;2019-10-21;17.742370459009255;2019-10-21;19.178584007932397;2019-10-14;16.886335431302946;2019-10-14
2019-11-11;2019;46;Industrial;340591;1.6442008156410475;3.758173292893823;33.6990877772035;14.02283588417458;2019-11-11;33.6990877772035;2019-11-11;14.02283588417458;2019-11-11;33.350770928235605;2019-11-04;14.447569226165035;2019-11-04;35.37108638575737;2019-10-28;21.288849769396613;2019-10-28;23.71733924196285;2019-10-21;14.680352230226717;2019-10-21;25.096625485135693;2019-10-14;16.697720367486255;2019-10-14
2019-11-18;2019;47;Agricultural;60103;2.1629535963263065;2.828477779811324;24.73553172641687;12.190233764696183;2019-11-18;24.73553172641687;2019-11-18;12.190233764696183;2019-11-18;27.004331317111944;2019-11-11;13.051962274602165;2019-11-11;26.271896861925125;2019-11-04;15.211857580492055;2019-11-04;20.13536005513777;2019-10-28;23.112954204783538;2019-10-28;19.399450736474016;2019-10-21;17.742370459009255;2019-10-21
2019-11-18;2019;47;Industrial;340591;1.6735615444917804;3.4058445466850267;28.152523307582694;12.775698539497549;2019-11-18;28.152523307582694;2019-11-18;12.775698539497549;2019-11-18;33.6990877772035;2019-11-11;14.02283588417458;2019-11-11;33.350770928235605;2019-11-04;14.447569226165035;2019-11-04;35.37108638575737;2019-10-28;21.288849769396613;2019-10-28;23.71733924196285;2019-10-21;14.680352230226717;2019-10-21
