WeekStart;Year;Week;Area;Population;Cardiocirculatory_rate_per_10000;Respiratory_rate_per_10000;TimeLabel
2017-02-13;2017;7;Industrial;338533;4.017333612971261;1.6541961935764016;2017-02-13
2017-02-20;2017;8;Agricultural;60562;2.4768006340609623;2.1465605495195006;2017-02-20
2017-02-20;2017;8;Industrial;338533;3.0720786452133173;2.0086668064856306;2017-02-20
2017-02-27;2017;9;Agricultural;60562;3.7977609722268086;0.990720253624385;2017-02-27
2017-02-27;2017;9;Industrial;338533;3.928715959743954;1.4178824516369157;2017-02-27
2017-03-06;2017;10;Agricultural;60562;1.4860803804365774;1.6512004227073083;2017-03-06
2017-03-06;2017;10;Industrial;338533;4.460421879107797;1.6541961935764016;2017-03-06
2017-03-13;2017;11;Agricultural;60562;2.8070407186024244;1.1558402958951157;2017-03-13
2017-03-13;2017;11;Industrial;338533;3.5742453468347253;1.1815687096974299;2017-03-13
2017-03-20;2017;12;Agricultural;60562;3.96288101449754;1.8163204649780391;2017-03-20
2017-03-20;2017;12;Industrial;338533;3.5151669113498536;1.506500104864223;2017-03-20
2017-03-27;2017;13;Agricultural;60562;2.4768006340609623;1.6512004227073083;2017-03-27
2017-03-27;2017;13;Industrial;338533;3.9877943952288253;1.6837354113188374;2017-03-27
2017-04-03;2017;14;Agricultural;60562;2.8070407186024244;1.1558402958951157;2017-04-03
2017-04-03;2017;14;Industrial;338533;3.662863000062032;1.2997255806671728;2017-04-03
2017-04-10;2017;15;Agricultural;60562;2.4768006340609623;1.1558402958951157;2017-04-10
2017-04-10;2017;15;Industrial;338533;4.046872830713697;1.0338726209852511;2017-04-10
2017-04-17;2017;16;Agricultural;60562;3.6326409299560782;0.990720253624385;2017-04-17
2017-04-17;2017;16;Industrial;338533;3.2788531694103678;1.0929510564701226;2017-04-17
2017-04-24;2017;17;Agricultural;60562;3.1372808031438852;1.3209603381658466;2017-04-24
2017-04-24;2017;17;Industrial;338533;4.105951266198568;1.3588040161520443;2017-04-24
2017-05-01;2017;18;Agricultural;60562;2.972160760873155;0.8256002113536541;2017-05-01
2017-05-01;2017;18;Industrial;338533;3.6333237823195965;1.1815687096974299;2017-05-01
2017-05-08;2017;19;Agricultural;60562;3.3024008454146165;1.3209603381658466;2017-05-08
2017-05-08;2017;19;Industrial;338533;3.928715959743954;1.063411838727687;2017-05-08
2017-05-15;2017;20;Agricultural;60562;3.96288101449754;0.6604801690829233;2017-05-15
2017-05-15;2017;20;Industrial;338533;3.721941435546904;1.5951177580915301;2017-05-15
2017-05-22;2017;21;Agricultural;60562;3.7977609722268086;1.4860803804365774;2017-05-22
2017-05-22;2017;21;Industrial;338533;3.928715959743954;1.063411838727687;2017-05-22
2017-05-29;2017;22;Agricultural;60562;2.972160760873155;0.33024008454146164;2017-05-29
2017-05-29;2017;22;Industrial;338533;4.1354904839410045;1.5655785403490945;2017-05-29
2017-06-05;2017;23;Agricultural;60562;2.972160760873155;1.3209603381658466;2017-06-05
2017-06-05;2017;23;Industrial;338533;3.7514806532893394;1.2997255806671728;2017-06-05
2017-06-12;2017;24;Agricultural;60562;4.12800105676827;1.98144050724877;2017-06-12
2017-06-12;2017;24;Industrial;338533;4.046872830713697;1.4178824516369157;2017-06-12
2017-06-19;2017;25;Agricultural;60562;3.467520887685347;1.4860803804365774;2017-06-19
2017-06-19;2017;25;Industrial;338533;4.667196403304848;1.860970717773452;2017-06-19
2017-06-26;2017;26;Agricultural;60562;4.458241141309732;1.1558402958951157;2017-06-26
2017-06-26;2017;26;Industrial;338533;3.7810198710317753;0.9747941855003797;2017-06-26
2017-07-03;2017;27;Agricultural;60562;2.641920676331693;0.990720253624385;2017-07-03
2017-07-03;2017;27;Industrial;338533;4.1354904839410045;1.3292647984096086;2017-07-03
2017-07-10;2017;28;Agricultural;60562;3.7977609722268086;0.990720253624385;2017-07-10
2017-07-10;2017;28;Industrial;338533;3.692402217804468;1.0929510564701226;2017-07-10
2017-07-17;2017;29;Agricultural;60562;2.972160760873155;1.1558402958951157;2017-07-17
2017-07-17;2017;29;Industrial;338533;3.544706129092289;1.152029491954994;2017-07-17
2017-07-24;2017;30;Agricultural;60562;3.467520887685347;0.6604801690829233;2017-07-24
2017-07-24;2017;30;Industrial;338533;3.249313951667932;0.7089412258184579;2017-07-24
2017-07-31;2017;31;Agricultural;60562;2.3116805917902314;1.1558402958951157;2017-07-31
2017-07-31;2017;31;Industrial;338533;3.5742453468347253;1.2111079274398655;2017-07-31
2017-08-07;2017;32;Agricultural;60562;3.3024008454146165;1.3209603381658466;2017-08-07
2017-08-07;2017;32;Industrial;338533;3.662863000062032;1.4178824516369157;2017-08-07
2017-08-14;2017;33;Agricultural;60562;2.3116805917902314;0.6604801690829233;2017-08-14
2017-08-14;2017;33;Industrial;338533;2.9539217742435744;0.915715750015508;2017-08-14
2017-08-21;2017;34;Agricultural;60562;2.3116805917902314;1.1558402958951157;2017-08-21
2017-08-21;2017;34;Industrial;338533;3.2788531694103678;1.4178824516369157;2017-08-21
2017-08-28;2017;35;Agricultural;60562;3.1372808031438852;0.6604801690829233;2017-08-28
2017-08-28;2017;35;Industrial;338533;3.101617862955753;1.0338726209852511;2017-08-28
2017-09-04;2017;36;Agricultural;60562;2.3116805917902314;0.8256002113536541;2017-09-04
2017-09-04;2017;36;Industrial;338533;2.894843338758703;0.9747941855003797;2017-09-04
2017-09-11;2017;37;Agricultural;60562;2.972160760873155;1.4860803804365774;2017-09-11
2017-09-11;2017;37;Industrial;338533;2.865304121016267;0.7680196613033293;2017-09-11
2017-09-18;2017;38;Agricultural;60562;2.4768006340609623;1.1558402958951157;2017-09-18
2017-09-18;2017;38;Industrial;338533;3.5151669113498536;1.1815687096974299;2017-09-18
2017-09-25;2017;39;Agricultural;60562;1.6512004227073083;1.1558402958951157;2017-09-25
2017-09-25;2017;39;Industrial;338533;3.5151669113498536;1.4474216693793516;2017-09-25
2017-10-02;2017;40;Agricultural;60562;4.293121099039001;0.990720253624385;2017-10-02
2017-10-02;2017;40;Industrial;338533;3.7810198710317753;1.270186362924737;2017-10-02
2017-10-09;2017;41;Agricultural;60562;2.3116805917902314;1.1558402958951157;2017-10-09
2017-10-09;2017;41;Industrial;338533;3.721941435546904;1.3292647984096086;2017-10-09
2017-10-16;2017;42;Agricultural;60562;3.1372808031438852;0.990720253624385;2017-10-16
2017-10-16;2017;42;Industrial;338533;3.4856276936074178;1.152029491954994;2017-10-16
2017-10-23;2017;43;Agricultural;60562;4.458241141309732;1.6512004227073083;2017-10-23
2017-10-23;2017;43;Industrial;338533;3.8991767420015186;1.4178824516369157;2017-10-23
2017-10-30;2017;44;Agricultural;60562;3.467520887685347;1.1558402958951157;2017-10-30
2017-10-30;2017;44;Industrial;338533;3.8696375242590824;1.0929510564701226;2017-10-30
2017-11-06;2017;45;Agricultural;60562;4.12800105676827;1.6512004227073083;2017-11-06
2017-11-06;2017;45;Industrial;338533;3.3379316048952394;1.506500104864223;2017-11-06
2017-11-13;2017;46;Agricultural;60562;3.1372808031438852;1.98144050724877;2017-11-13
2017-11-13;2017;46;Industrial;338533;4.194568919425875;1.4474216693793516;2017-11-13
2017-11-20;2017;47;Agricultural;60562;4.12800105676827;1.6512004227073083;2017-11-20
2017-11-20;2017;47;Industrial;338533;3.249313951667932;1.0338726209852511;2017-11-20
2017-11-27;2017;48;Agricultural;60562;4.623361183580463;1.4860803804365774;2017-11-27
2017-11-27;2017;48;Industrial;338533;4.37180422588049;1.3292647984096086;2017-11-27
2017-12-04;2017;49;Agricultural;60562;4.12800105676827;1.3209603381658466;2017-12-04
2017-12-04;2017;49;Industrial;338533;4.342265008138054;1.0338726209852511;2017-12-04
2017-12-11;2017;50;Agricultural;60562;5.448961394934117;0.8256002113536541;2017-12-11
2017-12-11;2017;50;Industrial;338533;3.8991767420015186;1.4474216693793516;2017-12-11
2017-12-18;2017;51;Agricultural;60562;4.458241141309732;2.3116805917902314;2017-12-18
2017-12-18;2017;51;Industrial;338533;5.169363104926255;1.713274629061273;2017-12-18
2017-12-25;2017;52;Agricultural;60562;5.448961394934117;2.3116805917902314;2017-12-25
2017-12-25;2017;52;Industrial;338533;3.5742453468347253;1.8905099355158876;2017-12-25
2018-01-01;2018;1;Agricultural;60224;4.649309245483528;2.98884165781084;2018-01-01
2018-01-01;2018;1;Industrial;338804;4.89958796236172;1.918513358756095;2018-01-01
2018-01-08;2018;2;Agricultural;60224;4.483262486716259;2.98884165781084;2018-01-08
2018-01-08;2018;2;Industrial;338804;5.22425945384352;1.9480289488908042;2018-01-08
2018-01-15;2018;3;Agricultural;60224;5.313496280552603;2.1586078639744954;2018-01-15
2018-01-15;2018;3;Industrial;338804;4.1616982089939905;1.4462639166007487;2018-01-15
2018-01-22;2018;4;Agricultural;60224;3.6530286928799147;2.6567481402763016;2018-01-22
2018-01-22;2018;4;Industrial;338804;4.486369700475791;1.8299665883519676;2018-01-22
2018-01-29;2018;5;Agricultural;60224;4.151168969181722;1.49442082890542;2018-01-29
2018-01-29;2018;5;Industrial;338804;5.342321814382357;1.8594821784866766;2018-01-29
2018-02-05;2018;6;Agricultural;60224;2.8227948990435707;0.9962805526036131;2018-02-05
2018-02-05;2018;6;Industrial;338804;4.515885290610501;1.357717146196621;2018-02-05
2018-02-12;2018;7;Agricultural;60224;3.819075451647184;1.8265143464399574;2018-02-12
