MonthPeriod;Year;Month;Season;Area;Population;Respiratory_rate_per_10000;Cardiocirculatory_rate_per_10000;NO2_population_weighted_mean;PM25_population_weighted_mean;TimeLabel
2019-02-01;2019;2;Winter;Agricultural;60103;8.485433339433971;15.806199357769165;40.87337392238562;34.15614861155017;2019-02
2019-03-01;2019;3;Spring;Agricultural;60103;5.656955559622648;13.310483669700346;29.29960095384644;22.768953082155203;2019-03
2019-04-01;2019;4;Spring;Agricultural;60103;7.819909155948954;13.80962680731411;15.088828732897417;18.28429917530461;2019-04
2019-05-01;2019;5;Spring;Agricultural;60103;6.9880039265926825;14.475150990799127;10.693984359108262;13.7981266567661;2019-05
2019-06-01;2019;6;Summer;Agricultural;60103;7.487147064206446;15.806199357769165;19.105032749335862;11.82775014003738;2019-06
2019-07-01;2019;7;Summer;Agricultural;60103;5.157812422008885;14.308769944927874;19.650790283132235;11.56287405545212;2019-07
2019-08-01;2019;8;Summer;Agricultural;60103;5.324193467880139;13.144102623829092;15.735040868015284;10.59748560669775;2019-08
2019-09-01;2019;9;Autumn;Agricultural;60103;5.324193467880139;16.305342495382927;17.71801324393125;14.703405820008983;2019-09
2019-10-01;2019;10;Autumn;Agricultural;60103;5.823336605493902;17.470009816481706;21.39528508318784;19.444258860998296;2019-10
2019-11-01;2019;11;Autumn;Agricultural;60103;7.6535281100777;14.641532036670382;27.205549029721205;14.530218680154624;2019-11
2019-12-01;2019;12;Winter;Agricultural;60103;6.322479743107666;16.638104587125433;41.75065368966071;22.09936490744652;2019-12
2023-01-01;2023;1;Winter;Agricultural;59596;10.235586280958454;20.47117256191691;26.20745205891713;30.90848595597453;2023-01
2023-02-01;2023;2;Winter;Agricultural;59596;9.732196791730988;15.605074166051413;26.255259041834066;41.65181148303338;2023-02
2023-03-01;2023;3;Spring;Agricultural;59596;7.718638834821129;13.591516209141552;21.0503718045593;24.66065486101037;2023-03
2023-04-01;2023;4;Spring;Agricultural;59596;7.383045842002819;12.584737230686624;15.30973381882453;14.393815580464013;2023-04
2023-05-01;2023;5;Spring;Agricultural;59596;7.550842338411974;17.28303913014296;12.441351822702972;11.990038300903503;2023-05
2023-06-01;2023;6;Summer;Agricultural;59596;6.040673870729579;15.605074166051413;15.902662259212027;13.934973264424906;2023-06
2023-07-01;2023;7;Summer;Agricultural;59596;6.208470367138734;13.423719712732398;12.52851582375089;15.103981323708672;2023-07
2023-08-01;2023;8;Summer;Agricultural;59596;6.544063359957044;15.437277669642258;12.623994628347;14.893853018929612;2023-08
2023-09-01;2023;9;Autumn;Agricultural;59596;7.215249345593664;13.255923216323245;18.99246906951249;20.62143991766785;2023-09
2023-10-01;2023;10;Autumn;Agricultural;59596;8.222028324048594;11.577958252231694;21.26639804793134;22.972163102524743;2023-10
2023-11-01;2023;11;Autumn;Agricultural;59596;7.550842338411974;16.276260151688035;29.061512853211624;23.89853737387297;2023-11
2023-12-01;2023;12;Winter;Agricultural;59596;10.403382777367607;18.457614605007045;29.09272152926479;34.09450406933568;2023-12
2016-01-01;2016;1;Winter;Industrial;338383;6.5901655816042775;16.3424285498976;52.98689239612339;46.37512332132143;2016-01
2016-02-01;2016;2;Winter;Industrial;338383;6.028671653126782;16.815265542299702;42.75404976222108;26.724754045787943;2016-02
2016-03-01;2016;3;Spring;Industrial;338383;5.851357780975994;15.248993004967742;36.04301510609327;25.844901172778734;2016-03
2016-04-01;2016;4;Spring;Industrial;338383;5.644491596800076;13.712272779660916;28.60970375777349;21.240598670737008;2016-04
2016-05-01;2016;5;Spring;Industrial;338383;4.639712987945612;15.514963813193926;28.758753962035577;14.443085535925936;2016-05
2016-06-01;2016;6;Summer;Industrial;338383;4.462399115794824;14.805708324590777;26.7154950751072;12.413327206153976;2016-06
2016-07-01;2016;7;Summer;Industrial;338383;4.610160675920481;14.953469884716432;25.17149943569384;12.690885580788253;2016-07
2016-08-01;2016;8;Summer;Industrial;338383;3.516725130990623;12.175552554354091;32.32140825727824;10.130657158575705;2016-08
2016-09-01;2016;9;Autumn;Industrial;338383;4.196428307568643;14.539737516364594;37.96192859373353;17.68449163620316;2016-09
2016-10-01;2016;10;Autumn;Industrial;338383;4.994340732247187;15.16033606889235;35.21990404459616;20.8071008104674;2016-10
2016-11-01;2016;11;Autumn;Industrial;338383;5.4967300366744185;18.3224334555814;41.43923513691094;31.20671793007726;2016-11
2016-12-01;2016;12;Winter;Industrial;338383;7.565391878433609;16.99257941445049;51.30965607495916;44.12076733436144;2016-12
