MonthPeriod;Year;Month;Season;Area;Population;Respiratory_rate_per_10000;Cardiocirculatory_rate_per_10000;NO2_population_weighted_mean;NO2_arithmetic_mean;PM25_population_weighted_mean;PM25_arithmetic_mean;TimeLabel
2019-12-01;2019;12;Winter;Agricultural;60103;6.322479743107666;16.638104587125433;39.76070727994115;39.67711213517666;23.53005846657829;22.95084485407066;2019-12
2023-01-01;2023;1;Winter;Agricultural;59596;10.235586280958454;20.47117256191691;27.64769719245404;27.577572964669734;30.944386419343804;30.881720430107528;2023-01
2023-02-01;2023;2;Winter;Agricultural;59596;9.732196791730988;15.605074166051413;28.87650055560395;28.79965986394558;42.52866353347115;42.28741496598639;2023-02
2023-03-01;2023;3;Spring;Agricultural;59596;7.718638834821129;13.591516209141552;22.47495512983203;22.7284178187404;24.890337837221924;24.79723502304148;2023-03
2023-04-01;2023;4;Spring;Agricultural;59596;7.383045842002819;12.584737230686624;16.15367857975024;16.39238095238095;14.200031232803369;14.226984126984126;2023-04
2023-05-01;2023;5;Spring;Agricultural;59596;7.550842338411974;17.28303913014296;13.078470907195394;13.288940092165898;11.786761993084646;11.832565284178187;2023-05
2023-06-01;2023;6;Summer;Agricultural;59596;6.040673870729579;15.605074166051413;15.686306497910376;16.194603174603174;13.836147260189083;13.82063492063492;2023-06
2023-07-01;2023;7;Summer;Agricultural;59596;6.208470367138734;13.423719712732398;12.472564644946356;12.809831029185869;14.831766495693854;14.841781874039938;2023-07
2023-08-01;2023;8;Summer;Agricultural;59596;6.544063359957044;15.437277669642258;12.289866466572024;12.730568356374809;14.510742693035278;14.531490015360983;2023-08
2023-09-01;2023;9;Autumn;Agricultural;59596;7.215249345593664;13.255923216323245;18.453903307206847;19.12333333333333;19.77147949293792;19.926984126984127;2023-09
2023-10-01;2023;10;Autumn;Agricultural;59596;8.222028324048594;11.577958252231694;21.726283051718354;22.118433179723503;22.49600138556584;22.556067588325654;2023-10
2023-11-01;2023;11;Autumn;Agricultural;59596;7.550842338411974;16.276260151688035;29.464548933870734;29.830952380952382;22.89768877255083;23.046031746031748;2023-11
2023-12-01;2023;12;Winter;Agricultural;59596;10.403382777367607;18.457614605007045;30.478892813912463;30.59185867895545;34.14894209073633;34.07066052227342;2023-12
2016-01-01;2016;1;Winter;Industrial;338383;6.5901655816042775;16.3424285498976;52.96075415221071;51.32479838709677;45.85912456480677;45.568548387096776;2016-01
2016-02-01;2016;2;Winter;Industrial;338383;6.028671653126782;16.815265542299702;42.47970962525172;40.814870689655166;26.464009037836224;26.474137931034484;2016-02
2016-03-01;2016;3;Spring;Industrial;338383;5.851357780975994;15.248993004967742;35.28856638890971;32.51592741935484;25.62086072380313;25.830645161290324;2016-03
2016-04-01;2016;4;Spring;Industrial;338383;5.644491596800076;13.712272779660916;27.795486833243977;24.947916666666668;21.077304977428565;21.54375;2016-04
2016-05-01;2016;5;Spring;Industrial;338383;4.639712987945612;15.514963813193926;28.219524035329616;24.989717741935483;14.200660585971786;14.786290322580646;2016-05
2016-06-01;2016;6;Summer;Industrial;338383;4.462399115794824;14.805708324590777;26.652062658835572;23.56458333333333;12.309010400732625;12.60625;2016-06
2016-07-01;2016;7;Summer;Industrial;338383;4.610160675920481;14.953469884716432;24.892077326255656;22.091532258064515;12.562768516335398;12.715725806451612;2016-07
2016-08-01;2016;8;Summer;Industrial;338383;3.516725130990623;12.175552554354091;31.44540119072757;28.774798387096773;10.014726339905613;10.449596774193548;2016-08
2016-09-01;2016;9;Autumn;Industrial;338383;4.196428307568643;14.539737516364594;37.34562479617048;33.690000000000005;17.63296813141211;18.072916666666668;2016-09
2016-10-01;2016;10;Autumn;Industrial;338383;4.994340732247187;15.16033606889235;35.021930123437514;32.23427419354839;20.712614323261885;21.199596774193548;2016-10
2016-11-01;2016;11;Autumn;Industrial;338383;5.4967300366744185;18.3224334555814;40.752646537649525;39.01291666666667;30.843240533475495;30.9375;2016-11
2016-12-01;2016;12;Winter;Industrial;338383;7.565391878433609;16.99257941445049;50.578080409824;48.377016129032256;43.45670707380817;44.80040322580645;2016-12
2017-01-01;2017;1;Winter;Industrial;338533;10.250108556625202;19.879893540659257;50.43135724997598;48.56229838709677;38.07843006199073;39.13911290322581;2017-01
2017-02-01;2017;2;Winter;Industrial;338533;7.975588790457651;15.06500104864223;43.49734019626808;41.091741071428565;42.735223528973926;42.392857142857146;2017-02
2017-03-01;2017;3;Spring;Industrial;338533;6.3804710323661205;17.07366785512786;38.639894037568496;35.515120967741936;28.224318122988063;28.413306451612904;2017-03
2017-04-01;2017;4;Spring;Industrial;338533;5.317059193638435;16.03979523414261;27.236803688793163;24.5875;16.054789463533634;15.970833333333331;2017-04
2017-05-01;2017;5;Spring;Industrial;338533;5.76014745977497;17.309981597067345;26.977353884404817;23.69415322580645;11.51728043244101;11.334677419354838;2017-05
2017-06-01;2017;6;Summer;Industrial;338533;5.96692198397202;17.044128637385423;27.69346852782498;23.89875;13.494279704872314;13.25625;2017-06
2017-07-01;2017;7;Summer;Industrial;338533;4.78535327427459;16.423805064794273;28.28532783147168;24.50483870967742;11.602759412669624;11.60483870967742;2017-07
2017-08-01;2017;8;Summer;Industrial;338533;5.376137629123305;14.56283434702082;21.52058412916554;19.459879032258065;12.603242916709783;12.65524193548387;2017-08
2017-09-01;2017;9;Autumn;Industrial;338533;4.608117967819976;13.73573625023262;24.16165649350584;21.968958333333333;12.343036458790872;12.347916666666666;2017-09
2017-10-01;2017;10;Autumn;Industrial;338533;5.701069024290099;16.482883500279147;31.236233419490468;28.228629032258063;31.7860737937781;30.211693548387096;2017-10
2017-11-01;2017;11;Autumn;Industrial;338533;5.34659841138087;16.335187411566967;40.236126403669005;38.72666666666667;28.2777409221579;28.41875;2017-11
2017-12-01;2017;12;Winter;Industrial;338533;6.794020080760221;18.58016795999208;50.482076862875694;48.83548387096774;31.102856201423016;32.649193548387096;2017-12
2018-01-01;2018;1;Winter;Industrial;338804;7.910178156102053;21.162678126586464;41.56564903711848;39.13225806451613;35.17018480120557;34.645161290322584;2018-01
2018-02-01;2018;2;Winter;Industrial;338804;6.375367469097178;18.211119113115547;38.87768713631669;36.106026785714285;30.644585584860742;30.087053571428573;2018-02
