BSA;Municipality;Area;Province;INDEX_MEDIAN;INDEX_Q25;INDEX_Q75;INDEX_IQR;CI_LOW_MEDIAN;CI_HIGH_MEDIAN;AVG_STDEFF;2016INDEX;2016STDEFF;2017INDEX;2017STDEFF;2018INDEX;2018STDEFF;2019INDEX;2019STDEFF;2023INDEX;2023STDEFF
17081;GUSSAGO;Industrial;BS;-0.1136598698583201;-0.1468722522666592;-0.033147419420235;0.1137248328464241;-0.1472584328283183;-0.0809536862596881;-2.1676001034758224e-05;-0.033147419420235;-9.112549174743651e-06;0.0331160733707434;9.103967157414352e-06;-0.1563026377337959;-4.2968811089865104e-05;-0.1468722522666592;-4.0376347051485255e-05;-0.1136598698583201;-3.124606046092171e-05
17021;BORGOSATOLLO;Industrial;BS;-0.0706219592346765;-0.1003334786127257;-0.0402262281569395;0.0601072504557862;-0.1070237845858469;-0.0292125445658934;-2.206541820735549e-05;-0.0402262281569395;-1.1097560244588649e-05;-0.0148374571760907;-4.09334476635496e-06;-0.1713292980033999;-4.726574298917786e-05;-0.1003334786127257;-2.7679773682070623e-05;-0.0706219592346765;-1.948306076748792e-05
17061;CONCESIO;Industrial;BS;-0.099525644256244;-0.1063789982575563;-0.0684525601469283;0.037926438110628;-0.1284596138296016;-0.0779801600989992;-2.291077293240156e-05;-0.099525644256244;-2.7392538331028783e-05;-0.0684525601469283;-1.8840297963054657e-05;-0.1063789982575563;-2.927878175148608e-05;-0.1462636668418482;-4.025617874347173e-05;-0.0134830195338813;-3.710963086920647e-06
19077;POZZAGLIO ED UNITI;Agricultural;CR;-0.0823471390917842;-0.0830743168698335;-0.0771155023621806;0.0059588145076528;-0.1040008567149064;-0.0538914680008706;-2.3201879207742265e-05;-0.0830743168698335;-2.0448389298210945e-05;-0.0435806879545086;-1.0727222944920242e-05;-0.1553438925124026;-3.823709270571521e-05;-0.0771155023621806;-1.8981658413786986e-05;-0.0823471390917842;-2.026939835778891e-05
17161;REZZATO;Industrial;BS;-0.1002720614382615;-0.1031158988117635;-0.0885451505483087;0.0145707482634548;-0.1347198540247991;-0.0668676179482316;-2.355852776869063e-05;-0.0415607832640217;-1.137219708470393e-05;-0.0885451505483087;-2.4228372686101028e-05;-0.1031158988117635;-2.8215303600216985e-05;-0.1002720614382615;-2.743715719467989e-05;-0.1078324695076336;-2.9505877017892655e-05
19022;CASALMORANO;Agricultural;CR;-0.1155320098659754;-0.1350345745510952;-0.0711568009572178;0.0638777735938773;-0.1371687733908576;-0.0909313021771439;-2.3830719631725203e-05;-0.1155320098659754;-2.8519887660408227e-05;-0.0711568009572178;-1.7565596808384988e-05;-0.1632557190099277;-4.030071917027965e-05;-0.1350345745510952;-3.333419848318628e-05;-0.0149971558551584;-3.702172768184939e-06
17043;CASTENEDOLO;Industrial;BS;-0.0944982979949233;-0.1080248634449135;-0.0657170470023204;0.042307816442593;-0.1414069324943798;-0.0629919140762318;-2.413505824425972e-05;-0.0944982979949233;-2.6036333835576e-05;-0.0657170470023204;-1.8106504563957837e-05;-0.1275629029116735;-3.5146282550007736e-05;-0.0374733257640887;-1.0324749807772078e-05;-0.1080248634449135;-2.9763172825767707e-05
19065;PADERNO PONCHIELLI;Agricultural;CR;-0.1246553518556016;-0.128913633745095;-0.0683628524604372;0.0605507812846578;-0.1523999000315343;-0.102929316953537;-2.462900685918979e-05;-0.1246553518556016;-3.07026298357145e-05;-0.0683628524604372;-1.683782942111763e-05;-0.1517416639324849;-3.737393902509594e-05;-0.128913633745095;-3.1751438142796405e-05;-0.0333870089162586;-8.223264128183593e-06
17196;VEROLAVECCHIA;Agricultural;BS;-0.1059524986437003;-0.1095122298471661;-0.0592594954215232;0.0502527344256429;-0.1288788552159879;-0.0871035906497592;-2.5461831845686072e-05;-0.1059524986437003;-2.893246174532688e-05;-0.0592594954215232;-1.6182041591913367e-05;-0.1662883035991642;-4.540820805030983e-05;-0.1095122298471661;-2.990451178932421e-05;-0.0400754167693058;-1.0943440875451848e-05
19004;AZZANELLO;Agricultural;CR;-0.1090910447139783;-0.1639179672006629;-0.0894385324037644;0.0744794347968984;-0.1385841648014526;-0.0749551992191508;-2.5684473684110897e-05;-0.1639179672006629;-4.050252407024976e-05;-0.1090910447139783;-2.6955406335776792e-05;-0.1815757126362727;-4.48655383175158e-05;-0.0894385324037644;-2.209947189027546e-05;-0.0042235301718504;-1.0436017042556003e-06
