BSA;Municipality;Area;Province;INDEX_MEDIAN;INDEX_Q25;INDEX_Q75;INDEX_IQR;CI_LOW_MEDIAN;CI_HIGH_MEDIAN;AVG_STDEFF;2016INDEX;2016STDEFF;2017INDEX;2017STDEFF;2018INDEX;2018STDEFF;2019INDEX;2019STDEFF;2023INDEX;2023STDEFF
17025;BOVEZZO;Industrial;BS;-0.0911708196756086;-0.0957795467552325;-0.0660701245468383;0.0297094222083942;-0.124479950167606;-0.0618728090276526;-4.668801561956047e-05;-0.0957795467552325;-5.6820439350550815e-05;-0.0660701245468383;-3.919563396382378e-05;-0.0911708196756086;-5.408636402885957e-05;-0.1512337818325125;-8.971792235356735e-05;0.012467921346175;7.396540253139394e-06
17021;BORGOSATOLLO;Industrial;BS;-0.0702124425099603;-0.1037004867529324;-0.0384935246399712;0.0652069621129611;-0.1092617388326971;-0.0282869903301521;-4.835743247985847e-05;-0.0384935246399712;-2.28414146980988e-05;-0.0159056963619352;-9.438187128911035e-06;-0.1736252826485694;-0.0001030255253387;-0.1037004867529324;-6.153390135976812e-05;-0.0702124425099603;-4.1662813233483615e-05
19077;POZZAGLIO ED UNITI;Agricultural;CR;-0.0825222275984062;-0.0843089567504508;-0.0806779995315378;0.0036309572189129;-0.1136662676348585;-0.0572756370964067;-4.839023181077267e-05;-0.0806779995315378;-4.27134428477234e-05;-0.0410504321884218;-2.173342102653673e-05;-0.1549359583302477;-8.202759711048021e-05;-0.0825222275984062;-4.368983033704505e-05;-0.0843089567504508;-4.463577606332992e-05
17161;REZZATO;Industrial;BS;-0.1004637738891278;-0.1127015561016177;-0.0862015626092081;0.0264999934924095;-0.1349453612369365;-0.0644575472952365;-5.274970246346407e-05;-0.0429795061575562;-2.5295258142628432e-05;-0.0862015626092081;-5.073313961943973e-05;-0.1004637738891278;-5.912698421422895e-05;-0.1127015561016177;-6.632936548676704e-05;-0.1141590906808198;-6.718717707463098e-05
19065;PADERNO PONCHIELLI;Agricultural;CR;-0.1233490694929524;-0.1344131209617974;-0.0630584880228014;0.0713546329389959;-0.1510539213542517;-0.0982884959200418;-5.296882454506407e-05;-0.1233490694929524;-6.534579289293914e-05;-0.0630584880228014;-3.3406169549945534e-05;-0.1524546581839874;-8.076473824555779e-05;-0.1344131209617974;-7.120707844252858e-05;-0.0365276192946278;-1.9351075164836555e-05
19022;CASALMORANO;Agricultural;CR;-0.1137661402271693;-0.1402756097065243;-0.0646644780189907;0.0756111316875335;-0.1341137373807634;-0.0922110474831376;-5.306148346052074e-05;-0.1137661402271693;-6.0405380306320576e-05;-0.0646644780189907;-3.433440267870808e-05;-0.1627922888747696;-8.643612903246474e-05;-0.1402756097065243;-7.448077016952229e-05;-0.0178707491642458;-9.488718167597092e-06
17043;CASTENEDOLO;Industrial;BS;-0.0932469240689828;-0.1111752928808706;-0.0653924548596842;0.0457828380211864;-0.1275306866804038;-0.0579924385499896;-5.319523670734696e-05;-0.0932469240689828;-5.525956581935981e-05;-0.0653924548596842;-3.875264096084847e-05;-0.1275825696537277;-7.560724680329217e-05;-0.0456009867784903;-2.7023923846406485e-05;-0.1111752928808706;-6.588412446842332e-05
17061;CONCESIO;Industrial;BS;-0.0948862576257986;-0.1103576700711901;-0.0669302525261171;0.043427417545073;-0.128009430938125;-0.0598143592781189;-5.445698556113064e-05;-0.0948862576257986;-5.617172920951692e-05;-0.0669302525261171;-3.96221146803519e-05;-0.1103576700711901;-6.533059363055613e-05;-0.1469778524707235;-8.700917422782858e-05;-0.0226427834479121;-1.3404361368070053e-05
17196;VEROLAVECCHIA;Agricultural;BS;-0.10482488891856;-0.1166331530320031;-0.0503222246268014;0.0663109284052016;-0.1289858777919986;-0.0793466668675895;-5.550993703574459e-05;-0.10482488891856;-6.156809282275148e-05;-0.0503222246268014;-2.9556465536363087e-05;-0.1679335311636144;-9.86341068109554e-05;-0.1166331530320031;-6.850353895094512e-05;-0.0402462957000714;-2.363844121885919e-05
17200;VILLACHIARA;Agricultural;BS;-0.0928627270699129;-0.1429388723799355;-0.0445981144009665;0.098340757978969;-0.1152054386358304;-0.0706369934845091;-5.566578641335671e-05;-0.0928627270699129;-5.452956276871747e-05;-0.0391669867381254;-2.2999166583276603e-05;-0.157711802151365;-9.260898814854914e-05;-0.1429388723799355;-8.393433799499764e-05;-0.0445981144009665;-2.618835973748365e-05
19063;OLMENETA;Agricultural;CR;-0.1196859921781866;-0.1278368188385848;-0.0639091944920464;0.0639276243465383;-0.1528523136036772;-0.092651691313684;-5.705132617602578e-05;-0.1278368188385848;-6.773032638078411e-05;-0.0624235538834464;-3.3073274387531454e-05;-0.1614189743232905;-8.552262685036834e-05;-0.1196859921781866;-6.341189379682965e-05;-0.0639091944920464;-3.386039450041845e-05
19033;CORTE DE' FRATI;Agricultural;CR;-0.110865318223647;-0.1159085821939607;-0.0860733270988073;0.0298352550951534;-0.1422000545445851;-0.0883399541487151;-5.790074368818405e-05;-0.1159085821939607;-6.150735831946925e-05;-0.063577210365894;-3.3737596791447456e-05;-0.1594681888781456;-8.462224626044959e-05;-0.110865318223647;-5.8831145468163326e-05;-0.0860733270988073;-4.567523103310356e-05
17149;PONTEVICO;Agricultural;BS;-0.1090777312043731;-0.1412123107561753;-0.0567452920916933;0.0844670186644819;-0.1544175864308894;-0.0678423578886498;-5.808954693984765e-05;-0.1412123107561753;-8.316709979099647e-05;-0.0567452920916933;-3.342034833655719e-05;-0.1090777312043731;-6.424153465333203e-05;-0.1505370750009388;-8.865887870985858e-05;-0.035058272085984;-2.0647724308544485e-05
