WeekStart;Year;Week;Area;Population;Cardiocirculatory_rate_per_10000;Respiratory_rate_per_10000;TimeLabel;NO2_mean;PM25_mean;NO2_mean_lag0;NO2_mean_lag0_WeekStart;PM25_mean_lag0;PM25_mean_lag0_WeekStart;NO2_mean_lag1;NO2_mean_lag1_WeekStart;PM25_mean_lag1;PM25_mean_lag1_WeekStart;NO2_mean_lag2;NO2_mean_lag2_WeekStart;PM25_mean_lag2;PM25_mean_lag2_WeekStart;NO2_mean_lag3;NO2_mean_lag3_WeekStart;PM25_mean_lag3;PM25_mean_lag3_WeekStart;NO2_mean_lag4;NO2_mean_lag4_WeekStart;PM25_mean_lag4;PM25_mean_lag4_WeekStart
2017-06-19;2017;25;Industrial;338533;4.667196403304848;1.860970717773452;2017-06-19;19.329761904761906;16.857142857142858;19.329761904761906;2017-06-19;16.857142857142858;2017-06-19;18.573214285714283;2017-06-12;20.571428571428573;2017-06-12;17.44215838509317;2017-06-05;17.333333333333332;2017-06-05;12.464285714285714;2017-05-29;19.0;2017-05-29;16.063690476190477;2017-05-22;17.571428571428573;2017-05-22
2017-06-26;2017;26;Agricultural;60562;4.458241141309732;1.1558402958951157;2017-06-26;17.545833333333334;11.428571428571429;17.545833333333334;2017-06-26;11.428571428571429;2017-06-26;22.362344720496896;2017-06-19;18.142857142857142;2017-06-19;16.51607142857143;2017-06-12;23.857142857142858;2017-06-12;22.252331545266326;2017-06-05;24.571428571428573;2017-06-05;16.047619047619047;2017-05-29;15.571428571428571;2017-05-29
2017-06-26;2017;26;Industrial;338533;3.7810198710317753;0.9747941855003797;2017-06-26;13.76904761904762;7.857142857142857;13.76904761904762;2017-06-26;7.857142857142857;2017-06-26;19.329761904761906;2017-06-19;16.857142857142858;2017-06-19;18.573214285714283;2017-06-12;20.571428571428573;2017-06-12;17.44215838509317;2017-06-05;17.333333333333332;2017-06-05;12.464285714285714;2017-05-29;19.0;2017-05-29
2017-07-03;2017;27;Agricultural;60562;2.641920676331693;0.990720253624385;2017-07-03;19.992261904761904;15.0;19.992261904761904;2017-07-03;15.0;2017-07-03;17.545833333333334;2017-06-26;11.428571428571429;2017-06-26;22.362344720496896;2017-06-19;18.142857142857142;2017-06-19;16.51607142857143;2017-06-12;23.857142857142858;2017-06-12;22.252331545266326;2017-06-05;24.571428571428573;2017-06-05
2017-07-03;2017;27;Industrial;338533;4.1354904839410045;1.3292647984096086;2017-07-03;17.007763975155278;12.285714285714286;17.007763975155278;2017-07-03;12.285714285714286;2017-07-03;13.76904761904762;2017-06-26;7.857142857142857;2017-06-26;19.329761904761906;2017-06-19;16.857142857142858;2017-06-19;18.573214285714283;2017-06-12;20.571428571428573;2017-06-12;17.44215838509317;2017-06-05;17.333333333333332;2017-06-05
2017-07-10;2017;28;Agricultural;60562;3.7977609722268086;0.990720253624385;2017-07-10;17.035119047619045;16.714285714285715;17.035119047619045;2017-07-10;16.714285714285715;2017-07-10;19.992261904761904;2017-07-03;15.0;2017-07-03;17.545833333333334;2017-06-26;11.428571428571429;2017-06-26;22.362344720496896;2017-06-19;18.142857142857142;2017-06-19;16.51607142857143;2017-06-12;23.857142857142858;2017-06-12
2017-07-10;2017;28;Industrial;338533;3.692402217804468;1.0929510564701226;2017-07-10;13.691666666666666;10.142857142857142;13.691666666666666;2017-07-10;10.142857142857142;2017-07-10;17.007763975155278;2017-07-03;12.285714285714286;2017-07-03;13.76904761904762;2017-06-26;7.857142857142857;2017-06-26;19.329761904761906;2017-06-19;16.857142857142858;2017-06-19;18.573214285714283;2017-06-12;20.571428571428573;2017-06-12
2017-07-17;2017;29;Agricultural;60562;2.972160760873155;1.1558402958951157;2017-07-17;20.00654761904762;16.857142857142858;20.00654761904762;2017-07-17;16.857142857142858;2017-07-17;17.035119047619045;2017-07-10;16.714285714285715;2017-07-10;19.992261904761904;2017-07-03;15.0;2017-07-03;17.545833333333334;2017-06-26;11.428571428571429;2017-06-26;22.362344720496896;2017-06-19;18.142857142857142;2017-06-19
2017-07-17;2017;29;Industrial;338533;3.544706129092289;1.152029491954994;2017-07-17;19.582738095238092;13.285714285714286;19.582738095238092;2017-07-17;13.285714285714286;2017-07-17;13.691666666666666;2017-07-10;10.142857142857142;2017-07-10;17.007763975155278;2017-07-03;12.285714285714286;2017-07-03;13.76904761904762;2017-06-26;7.857142857142857;2017-06-26;19.329761904761906;2017-06-19;16.857142857142858;2017-06-19
2017-07-24;2017;30;Agricultural;60562;3.467520887685347;0.6604801690829233;2017-07-24;19.286309523809525;15.0;19.286309523809525;2017-07-24;15.0;2017-07-24;20.00654761904762;2017-07-17;16.857142857142858;2017-07-17;17.035119047619045;2017-07-10;16.714285714285715;2017-07-10;19.992261904761904;2017-07-03;15.0;2017-07-03;17.545833333333334;2017-06-26;11.428571428571429;2017-06-26
